YEAR	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2018	HI	Combined Heat and Power, Electric Power	Total	2607156
2018	HI	Combined Heat and Power, Electric Power	Coal	1311203
2018	HI	Combined Heat and Power, Electric Power	Other	0
2018	HI	Combined Heat and Power, Electric Power	Petroleum	1295953
2018	HI	Combined Heat and Power, Electric Power	Other Biomass	0
2018	HI	Electric Generators, Independent Power Producers	Total	1215278
2018	HI	Electric Generators, Independent Power Producers	Geothermal	110089
2018	HI	Electric Generators, Independent Power Producers	Hydroelectric Conventional	42430
2018	HI	Electric Generators, Independent Power Producers	Other	-969
2018	HI	Electric Generators, Independent Power Producers	Petroleum	264004
2018	HI	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	146814
2018	HI	Electric Generators, Independent Power Producers	Other Biomass	50976
2018	HI	Electric Generators, Independent Power Producers	Wind	601934
2018	HI	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	0
2018	HI	Electric Generators, Electric Utilities	Total	5296030
2018	HI	Electric Generators, Electric Utilities	Hydroelectric Conventional	19639
2018	HI	Electric Generators, Electric Utilities	Other	189883
2018	HI	Electric Generators, Electric Utilities	Petroleum	4995451
2018	HI	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	37762
2018	HI	Electric Generators, Electric Utilities	Other Biomass	53295
2018	IA	Total Electric Power Industry	Total	63380569
2018	IA	Total Electric Power Industry	Coal	28552999
2018	IA	Total Electric Power Industry	Hydroelectric Conventional	924861
2018	IA	Total Electric Power Industry	Natural Gas	7340070
2018	IA	Total Electric Power Industry	Nuclear	4895399
2018	IA	Total Electric Power Industry	Other	0
2018	IA	Total Electric Power Industry	Petroleum	110565
2018	IA	Total Electric Power Industry	Solar Thermal and Photovoltaic	11456
2018	IA	Total Electric Power Industry	Other Biomass	209177
2018	IA	Total Electric Power Industry	Wind	21334057
2018	IA	Total Electric Power Industry	Wood and Wood Derived Fuels	1986
2018	IA	Combined Heat and Power, Industrial Power	Total	2109656
2018	IA	Combined Heat and Power, Industrial Power	Coal	1509288
2018	IA	Combined Heat and Power, Industrial Power	Natural Gas	529387
2018	IA	Combined Heat and Power, Industrial Power	Other	0
2018	IA	Combined Heat and Power, Industrial Power	Petroleum	36316
2018	IA	Combined Heat and Power, Industrial Power	Other Biomass	34664
2018	IA	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	0
2018	IA	Combined Heat and Power, Commercial Power	Total	226800
2018	IA	Combined Heat and Power, Commercial Power	Coal	74461
2018	IA	Combined Heat and Power, Commercial Power	Natural Gas	98361
2018	IA	Combined Heat and Power, Commercial Power	Petroleum	7409
2018	IA	Combined Heat and Power, Commercial Power	Other Biomass	41152
2018	IA	Combined Heat and Power, Commercial Power	Wind	3430
2018	IA	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	1986
2018	IA	Combined Heat and Power, Electric Power	Total	13015
2018	IA	Combined Heat and Power, Electric Power	Natural Gas	6958
2018	IA	Combined Heat and Power, Electric Power	Other Biomass	6057
2018	IA	Electric Generators, Independent Power Producers	Total	11517999
2018	IA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	6594
2018	IA	Electric Generators, Independent Power Producers	Natural Gas	8
2018	IA	Electric Generators, Independent Power Producers	Nuclear	4895399
2018	IA	Electric Generators, Independent Power Producers	Petroleum	3547
2018	IA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	4581
2018	IA	Electric Generators, Independent Power Producers	Other Biomass	111045
2018	IA	Electric Generators, Independent Power Producers	Wind	6496826
2018	IA	Electric Generators, Electric Utilities	Total	49513099
2018	IA	Electric Generators, Electric Utilities	Coal	26969249
2018	IA	Electric Generators, Electric Utilities	Hydroelectric Conventional	918267
2018	IA	Electric Generators, Electric Utilities	Natural Gas	6705356
2018	IA	Electric Generators, Electric Utilities	Other	0
2018	IA	Electric Generators, Electric Utilities	Petroleum	63293
2018	IA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	6875
2018	IA	Electric Generators, Electric Utilities	Other Biomass	16258
2018	IA	Electric Generators, Electric Utilities	Wind	14833801
2018	IA	Electric Generators, Electric Utilities	Wood and Wood Derived Fuels	0
2018	ID	Total Electric Power Industry	Total	18172120
2018	ID	Total Electric Power Industry	Coal	20338
2018	ID	Total Electric Power Industry	Geothermal	83112
2018	ID	Total Electric Power Industry	Hydroelectric Conventional	11024342
2018	ID	Total Electric Power Industry	Natural Gas	3278742
2018	ID	Total Electric Power Industry	Other	63972
2018	ID	Total Electric Power Industry	Petroleum	57
2018	ID	Total Electric Power Industry	Solar Thermal and Photovoltaic	555964
2018	ID	Total Electric Power Industry	Other Biomass	96303
2018	ID	Total Electric Power Industry	Wind	2655052
2018	ID	Total Electric Power Industry	Wood and Wood Derived Fuels	394237
2018	ID	Combined Heat and Power, Industrial Power	Total	522621
2018	ID	Combined Heat and Power, Industrial Power	Coal	20338
2018	ID	Combined Heat and Power, Industrial Power	Natural Gas	92498
2018	ID	Combined Heat and Power, Industrial Power	Other	63972
2018	ID	Combined Heat and Power, Industrial Power	Petroleum	0
2018	ID	Combined Heat and Power, Industrial Power	Other Biomass	10666
2018	ID	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	335146
2018	ID	Combined Heat and Power, Commercial Power	Total	50302
2018	ID	Combined Heat and Power, Commercial Power	Natural Gas	39344
2018	ID	Combined Heat and Power, Commercial Power	Petroleum	21
2018	ID	Combined Heat and Power, Commercial Power	Other Biomass	10937
2018	ID	Combined Heat and Power, Electric Power	Total	98422
2018	ID	Combined Heat and Power, Electric Power	Other Biomass	39331
2018	ID	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	59091
2018	ID	Electric Generators, Independent Power Producers	Total	5596317
2018	ID	Electric Generators, Independent Power Producers	Geothermal	83112
2018	ID	Electric Generators, Independent Power Producers	Hydroelectric Conventional	847496
2018	ID	Electric Generators, Independent Power Producers	Natural Gas	1593817
2018	ID	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	555964
2018	ID	Electric Generators, Independent Power Producers	Other Biomass	20515
2018	ID	Electric Generators, Independent Power Producers	Wind	2495413
2018	ID	Electric Generators, Electric Utilities	Total	11904458
2018	ID	Electric Generators, Electric Utilities	Hydroelectric Conventional	10176846
2018	ID	Electric Generators, Electric Utilities	Natural Gas	1553083
2018	ID	Electric Generators, Electric Utilities	Petroleum	36
2018	ID	Electric Generators, Electric Utilities	Other Biomass	14854
2018	ID	Electric Generators, Electric Utilities	Wind	159639
2018	IL	Total Electric Power Industry	Total	188003357
2018	IL	Total Electric Power Industry	Coal	59641924
2018	IL	Total Electric Power Industry	Hydroelectric Conventional	146528
2018	IL	Total Electric Power Industry	Natural Gas	17240919
2018	IL	Total Electric Power Industry	Nuclear	98101527
2018	IL	Total Electric Power Industry	Other Gases	200816
2018	IL	Total Electric Power Industry	Other	227128
2018	IL	Total Electric Power Industry	Petroleum	53111
2018	IL	Total Electric Power Industry	Solar Thermal and Photovoltaic	66050
2018	IL	Total Electric Power Industry	Other Biomass	426371
2018	IL	Total Electric Power Industry	Wind	11898984
2018	IL	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2018	IL	Combined Heat and Power, Industrial Power	Total	2807239
2018	IL	Combined Heat and Power, Industrial Power	Coal	1748398
2018	IL	Combined Heat and Power, Industrial Power	Natural Gas	612562
2018	IL	Combined Heat and Power, Industrial Power	Other Gases	200277
2018	IL	Combined Heat and Power, Industrial Power	Other	246002
2018	IL	Combined Heat and Power, Industrial Power	Petroleum	0
2018	IL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	0
2018	IL	Combined Heat and Power, Commercial Power	Total	405237
2018	IL	Combined Heat and Power, Commercial Power	Coal	31235
2018	IL	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	1097
2018	IL	Combined Heat and Power, Commercial Power	Natural Gas	364402
2018	IL	Combined Heat and Power, Commercial Power	Petroleum	361
2018	IL	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	3472
2018	IL	Combined Heat and Power, Commercial Power	Other Biomass	0
2018	IL	Combined Heat and Power, Commercial Power	Wind	4670
2018	IL	Combined Heat and Power, Electric Power	Total	677659
2018	IL	Combined Heat and Power, Electric Power	Natural Gas	667399
2018	IL	Combined Heat and Power, Electric Power	Other Gases	539
2018	IL	Combined Heat and Power, Electric Power	Other Biomass	9721
2018	IL	Electric Generators, Independent Power Producers	Total	178663419
2018	IL	Electric Generators, Independent Power Producers	Coal	53809879
2018	IL	Electric Generators, Independent Power Producers	Hydroelectric Conventional	84498
2018	IL	Electric Generators, Independent Power Producers	Natural Gas	14372324
2018	IL	Electric Generators, Independent Power Producers	Nuclear	98101527
2018	IL	Electric Generators, Independent Power Producers	Other	-18860
2018	IL	Electric Generators, Independent Power Producers	Petroleum	45035
2018	IL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	60239
2018	IL	Electric Generators, Independent Power Producers	Other Biomass	326633
2018	IL	Electric Generators, Independent Power Producers	Wind	11882144
2018	IL	Electric Generators, Electric Utilities	Total	5449803
2018	IL	Electric Generators, Electric Utilities	Coal	4052412
2018	IL	Electric Generators, Electric Utilities	Hydroelectric Conventional	60933
2018	IL	Electric Generators, Electric Utilities	Natural Gas	1224232
2018	IL	Electric Generators, Electric Utilities	Other	-14
2018	IL	Electric Generators, Electric Utilities	Petroleum	7715
2018	IL	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	2339
2018	IL	Electric Generators, Electric Utilities	Other Biomass	90017
2018	IL	Electric Generators, Electric Utilities	Wind	12170
2018	IN	Total Electric Power Industry	Total	113459711
2018	IN	Total Electric Power Industry	Coal	77455229
2018	IN	Total Electric Power Industry	Hydroelectric Conventional	222661
2018	IN	Total Electric Power Industry	Natural Gas	26816995
2018	IN	Total Electric Power Industry	Other Gases	2325813
2018	IN	Total Electric Power Industry	Other	320638
2018	IN	Total Electric Power Industry	Petroleum	130617
2018	IN	Total Electric Power Industry	Solar Thermal and Photovoltaic	290717
2018	IN	Total Electric Power Industry	Other Biomass	459889
2018	IN	Total Electric Power Industry	Wind	5437153
2018	IN	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2018	IN	Combined Heat and Power, Industrial Power	Total	4241705
2018	IN	Combined Heat and Power, Industrial Power	Coal	0
2018	IN	Combined Heat and Power, Industrial Power	Natural Gas	1528307
2018	IN	Combined Heat and Power, Industrial Power	Other Gases	2325813
2018	IN	Combined Heat and Power, Industrial Power	Other	299504
2018	IN	Combined Heat and Power, Industrial Power	Petroleum	19123
2018	IN	Combined Heat and Power, Industrial Power	Other Biomass	68959
2018	IN	Combined Heat and Power, Commercial Power	Total	249985
2018	IN	Combined Heat and Power, Commercial Power	Coal	37902
2018	IN	Combined Heat and Power, Commercial Power	Natural Gas	168217
2018	IN	Combined Heat and Power, Commercial Power	Other	21162
2018	IN	Combined Heat and Power, Commercial Power	Petroleum	678
2018	IN	Combined Heat and Power, Commercial Power	Other Biomass	22025
2018	IN	Combined Heat and Power, Commercial Power	Wind	0
2018	IN	Combined Heat and Power, Electric Power	Total	7042128
2018	IN	Combined Heat and Power, Electric Power	Coal	4312189
2018	IN	Combined Heat and Power, Electric Power	Natural Gas	2729940
2018	IN	Combined Heat and Power, Electric Power	Petroleum	0
2018	IN	Electric Generators, Independent Power Producers	Total	17096015
2018	IN	Electric Generators, Independent Power Producers	Coal	0
2018	IN	Electric Generators, Independent Power Producers	Natural Gas	11426016
2018	IN	Electric Generators, Independent Power Producers	Petroleum	443
2018	IN	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	183581
2018	IN	Electric Generators, Independent Power Producers	Other Biomass	48822
2018	IN	Electric Generators, Independent Power Producers	Wind	5437153
2018	IN	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	0
2018	IN	Electric Generators, Electric Utilities	Total	84829877
2018	IN	Electric Generators, Electric Utilities	Coal	73105138
2018	IN	Electric Generators, Electric Utilities	Hydroelectric Conventional	222661
2018	IN	Electric Generators, Electric Utilities	Natural Gas	10964514
2018	IN	Electric Generators, Electric Utilities	Other Gases	0
2018	IN	Electric Generators, Electric Utilities	Other	-28
2018	IN	Electric Generators, Electric Utilities	Petroleum	110373
2018	IN	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	107136
2018	IN	Electric Generators, Electric Utilities	Other Biomass	320083
2018	KS	Total Electric Power Industry	Total	51710213
2018	KS	Total Electric Power Industry	Coal	20473983
2018	KS	Total Electric Power Industry	Hydroelectric Conventional	26420
2018	KS	Total Electric Power Industry	Natural Gas	3005715
2018	KS	Total Electric Power Industry	Nuclear	9168289
2018	KS	Total Electric Power Industry	Other	5010
2018	KS	Total Electric Power Industry	Petroleum	52016
2018	KS	Total Electric Power Industry	Solar Thermal and Photovoltaic	7727
2018	KS	Total Electric Power Industry	Other Biomass	63551
2018	KS	Total Electric Power Industry	Wind	18907502
2018	KS	Combined Heat and Power, Industrial Power	Total	85870
2018	KS	Combined Heat and Power, Industrial Power	Natural Gas	83841
2018	KS	Combined Heat and Power, Industrial Power	Other	5010
2018	KS	Combined Heat and Power, Industrial Power	Other Biomass	-2981
2018	KS	Combined Heat and Power, Commercial Power	Total	15600
2018	KS	Combined Heat and Power, Commercial Power	Wind	15600
2018	KS	Electric Generators, Independent Power Producers	Total	17090987
2018	KS	Electric Generators, Independent Power Producers	Hydroelectric Conventional	26420
2018	KS	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	5868
2018	KS	Electric Generators, Independent Power Producers	Other Biomass	66532
2018	KS	Electric Generators, Independent Power Producers	Wind	16992167
2018	KS	Electric Generators, Electric Utilities	Total	34517756
2018	KS	Electric Generators, Electric Utilities	Coal	20473983
2018	KS	Electric Generators, Electric Utilities	Natural Gas	2921874
2018	KS	Electric Generators, Electric Utilities	Nuclear	9168289
2018	KS	Electric Generators, Electric Utilities	Petroleum	52016
2018	KS	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	1859
2018	KS	Electric Generators, Electric Utilities	Wind	1899735
2018	KY	Total Electric Power Industry	Total	78804497
2018	KY	Total Electric Power Industry	Coal	59168143
2018	KY	Total Electric Power Industry	Hydroelectric Conventional	4417833
2018	KY	Total Electric Power Industry	Natural Gas	14614999
2018	KY	Total Electric Power Industry	Other	63540
2018	KY	Total Electric Power Industry	Petroleum	69992
2018	KY	Total Electric Power Industry	Solar Thermal and Photovoltaic	39436
2018	KY	Total Electric Power Industry	Other Biomass	101567
2018	KY	Total Electric Power Industry	Wood and Wood Derived Fuels	328987
2018	KY	Combined Heat and Power, Industrial Power	Total	532681
2018	KY	Combined Heat and Power, Industrial Power	Natural Gas	203694
2018	KY	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	328987
2018	KY	Electric Generators, Independent Power Producers	Total	714795
2018	KY	Electric Generators, Independent Power Producers	Hydroelectric Conventional	10526
2018	KY	Electric Generators, Independent Power Producers	Natural Gas	694617
2018	KY	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	1557
2018	KY	Electric Generators, Independent Power Producers	Other Biomass	8095
2018	KY	Electric Generators, Electric Utilities	Total	77557021
2018	KY	Electric Generators, Electric Utilities	Coal	59168143
2018	KY	Electric Generators, Electric Utilities	Hydroelectric Conventional	4407307
2018	KY	Electric Generators, Electric Utilities	Natural Gas	13716688
2018	KY	Electric Generators, Electric Utilities	Other	63540
2018	KY	Electric Generators, Electric Utilities	Petroleum	69992
2018	KY	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	37879
2018	KY	Electric Generators, Electric Utilities	Other Biomass	93472
2018	KY	Electric Generators, Electric Utilities	Wood and Wood Derived Fuels	0
2018	LA	Total Electric Power Industry	Total	102128485
2018	LA	Total Electric Power Industry	Coal	11786724
2018	LA	Total Electric Power Industry	Hydroelectric Conventional	1179855
2018	LA	Total Electric Power Industry	Natural Gas	61781774
2018	LA	Total Electric Power Industry	Nuclear	17152582
2018	LA	Total Electric Power Industry	Other Gases	2597958
2018	LA	Total Electric Power Industry	Other	643126
2018	LA	Total Electric Power Industry	Petroleum	4377794
2018	LA	Total Electric Power Industry	Solar Thermal and Photovoltaic	1518
2018	LA	Total Electric Power Industry	Other Biomass	78787
2018	LA	Total Electric Power Industry	Wood and Wood Derived Fuels	2528366
2018	LA	Combined Heat and Power, Industrial Power	Total	30639041
2018	LA	Combined Heat and Power, Industrial Power	Coal	0
2018	LA	Combined Heat and Power, Industrial Power	Natural Gas	24739793
2018	LA	Combined Heat and Power, Industrial Power	Other Gases	2597958
2018	LA	Combined Heat and Power, Industrial Power	Other	643126
2018	LA	Combined Heat and Power, Industrial Power	Petroleum	129798
2018	LA	Combined Heat and Power, Industrial Power	Other Biomass	0
2018	LA	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	2528366
2018	LA	Combined Heat and Power, Commercial Power	Total	170461
2018	LA	Combined Heat and Power, Commercial Power	Natural Gas	170461
2018	LA	Combined Heat and Power, Electric Power	Total	3064512
2018	LA	Combined Heat and Power, Electric Power	Natural Gas	3064512
2018	LA	Electric Generators, Independent Power Producers	Total	6102429
2018	LA	Electric Generators, Independent Power Producers	Coal	4006697
2018	LA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	1179855
2018	LA	Electric Generators, Independent Power Producers	Natural Gas	837089
2018	LA	Electric Generators, Independent Power Producers	Petroleum	0
2018	LA	Electric Generators, Independent Power Producers	Other Biomass	78787
2018	LA	Electric Generators, Electric Utilities	Total	62152041
2018	LA	Electric Generators, Electric Utilities	Coal	7780027
2018	LA	Electric Generators, Electric Utilities	Natural Gas	32969918
2018	LA	Electric Generators, Electric Utilities	Nuclear	17152582
2018	LA	Electric Generators, Electric Utilities	Other	0
2018	LA	Electric Generators, Electric Utilities	Petroleum	4247997
2018	LA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	1518
2018	MA	Total Electric Power Industry	Total	27172882
2018	MA	Total Electric Power Industry	Coal	0
2018	MA	Total Electric Power Industry	Pumped Storage	-463783
2018	MA	Total Electric Power Industry	Hydroelectric Conventional	1133620
2018	MA	Total Electric Power Industry	Natural Gas	18385821
2018	MA	Total Electric Power Industry	Nuclear	4441563
2018	MA	Total Electric Power Industry	Other	846414
2018	MA	Total Electric Power Industry	Petroleum	460716
2018	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	978311
2018	MA	Total Electric Power Industry	Other Biomass	1062196
2018	MA	Total Electric Power Industry	Wind	220982
2018	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	107041
2018	MA	Combined Heat and Power, Industrial Power	Total	268784
2018	MA	Combined Heat and Power, Industrial Power	Coal	0
2018	MA	Combined Heat and Power, Industrial Power	Natural Gas	261666
2018	MA	Combined Heat and Power, Industrial Power	Other	0
2018	MA	Combined Heat and Power, Industrial Power	Petroleum	1893
2018	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	2240
2018	MA	Combined Heat and Power, Industrial Power	Wind	2985
2018	MA	Combined Heat and Power, Commercial Power	Total	641553
2018	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	3941
2018	MA	Combined Heat and Power, Commercial Power	Natural Gas	569933
2018	MA	Combined Heat and Power, Commercial Power	Petroleum	13102
2018	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	2662
2018	MA	Combined Heat and Power, Commercial Power	Other Biomass	30158
2018	MA	Combined Heat and Power, Commercial Power	Wind	21757
2018	MA	Combined Heat and Power, Electric Power	Total	1772470
2018	MA	Combined Heat and Power, Electric Power	Natural Gas	1750542
2018	MA	Combined Heat and Power, Electric Power	Petroleum	21928
2018	MA	Electric Generators, Independent Power Producers	Total	23903563
2018	MA	Electric Generators, Independent Power Producers	Pumped Storage	-463783
2018	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	861775
2018	MA	Electric Generators, Independent Power Producers	Natural Gas	15636324
2018	MA	Electric Generators, Independent Power Producers	Nuclear	4441563
2018	MA	Electric Generators, Independent Power Producers	Other	846616
2018	MA	Electric Generators, Independent Power Producers	Petroleum	349286
2018	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	954153
2018	MA	Electric Generators, Independent Power Producers	Other Biomass	1032037
2018	MA	Electric Generators, Independent Power Producers	Wind	138551
2018	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	107041
2018	MA	Electric Generators, Electric Utilities	Total	586513
2018	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	267904
2018	MA	Electric Generators, Electric Utilities	Natural Gas	167357
2018	MA	Electric Generators, Electric Utilities	Other	-202
2018	MA	Electric Generators, Electric Utilities	Petroleum	74507
2018	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	19257
2018	MA	Electric Generators, Electric Utilities	Wind	57690
2018	MD	Total Electric Power Industry	Total	43809648
2018	MD	Total Electric Power Industry	Coal	10066924
2018	MD	Total Electric Power Industry	Hydroelectric Conventional	2830886
2018	MD	Total Electric Power Industry	Natural Gas	13849673
2018	MD	Total Electric Power Industry	Nuclear	14987931
2018	MD	Total Electric Power Industry	Other	326127
2018	MD	Total Electric Power Industry	Petroleum	260015
2018	MD	Total Electric Power Industry	Solar Thermal and Photovoltaic	396720
2018	MD	Total Electric Power Industry	Other Biomass	417346
2018	MD	Total Electric Power Industry	Wind	569984
2018	MD	Total Electric Power Industry	Wood and Wood Derived Fuels	104043
2018	MD	Combined Heat and Power, Industrial Power	Total	243613
2018	MD	Combined Heat and Power, Industrial Power	Coal	59744
2018	MD	Combined Heat and Power, Industrial Power	Natural Gas	88013
2018	MD	Combined Heat and Power, Industrial Power	Petroleum	3167
2018	MD	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	92690
2018	MD	Combined Heat and Power, Commercial Power	Total	839887
2018	MD	Combined Heat and Power, Commercial Power	Coal	0
2018	MD	Combined Heat and Power, Commercial Power	Natural Gas	811612
2018	MD	Combined Heat and Power, Commercial Power	Other	0
2018	MD	Combined Heat and Power, Commercial Power	Petroleum	793
2018	MD	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	10677
2018	MD	Combined Heat and Power, Commercial Power	Other Biomass	5452
2018	MD	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	11353
2018	MD	Combined Heat and Power, Electric Power	Total	2682824
2018	MD	Combined Heat and Power, Electric Power	Coal	1141404
2018	MD	Combined Heat and Power, Electric Power	Natural Gas	1174639
2018	MD	Combined Heat and Power, Electric Power	Other	164282
2018	MD	Combined Heat and Power, Electric Power	Petroleum	31503
2018	MD	Combined Heat and Power, Electric Power	Other Biomass	170995
2018	MD	Electric Generators, Independent Power Producers	Total	36246768
2018	MD	Electric Generators, Independent Power Producers	Coal	8865775
2018	MD	Electric Generators, Independent Power Producers	Hydroelectric Conventional	2830886
2018	MD	Electric Generators, Independent Power Producers	Natural Gas	7990143
2018	MD	Electric Generators, Independent Power Producers	Nuclear	14987931
2018	MD	Electric Generators, Independent Power Producers	Other	161845
2018	MD	Electric Generators, Independent Power Producers	Petroleum	221351
2018	MD	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	377953
2018	MD	Electric Generators, Independent Power Producers	Other Biomass	240900
2018	MD	Electric Generators, Independent Power Producers	Wind	569984
2018	MD	Electric Generators, Electric Utilities	Total	3796556
2018	MD	Electric Generators, Electric Utilities	Natural Gas	3785265
2018	MD	Electric Generators, Electric Utilities	Petroleum	3201
2018	MD	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	8090
2018	ME	Total Electric Power Industry	Total	11280700
2018	ME	Total Electric Power Industry	Coal	70828
2018	ME	Total Electric Power Industry	Hydroelectric Conventional	3261054
2018	ME	Total Electric Power Industry	Natural Gas	2330717
2018	ME	Total Electric Power Industry	Other	370843
2018	ME	Total Electric Power Industry	Petroleum	189107
2018	ME	Total Electric Power Industry	Solar Thermal and Photovoltaic	12032
2018	ME	Total Electric Power Industry	Other Biomass	152429
2018	ME	Total Electric Power Industry	Wind	2384295
2018	ME	Total Electric Power Industry	Wood and Wood Derived Fuels	2509395
2018	ME	Combined Heat and Power, Industrial Power	Total	1806801
2018	ME	Combined Heat and Power, Industrial Power	Coal	14543
2018	ME	Combined Heat and Power, Industrial Power	Hydroelectric Conventional	114446
2018	ME	Combined Heat and Power, Industrial Power	Natural Gas	422226
2018	ME	Combined Heat and Power, Industrial Power	Other	134073
2018	ME	Combined Heat and Power, Industrial Power	Petroleum	16669
2018	ME	Combined Heat and Power, Industrial Power	Other Biomass	7359
2018	ME	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	1097485
2018	ME	Combined Heat and Power, Commercial Power	Total	165415
2018	ME	Combined Heat and Power, Commercial Power	Natural Gas	30090
2018	ME	Combined Heat and Power, Commercial Power	Other	65161
2018	ME	Combined Heat and Power, Commercial Power	Petroleum	1909
2018	ME	Combined Heat and Power, Commercial Power	Other Biomass	67821
2018	ME	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	434
2018	ME	Combined Heat and Power, Electric Power	Total	598625
2018	ME	Combined Heat and Power, Electric Power	Coal	56284
2018	ME	Combined Heat and Power, Electric Power	Natural Gas	4400
2018	ME	Combined Heat and Power, Electric Power	Other	133002
2018	ME	Combined Heat and Power, Electric Power	Petroleum	11014
2018	ME	Combined Heat and Power, Electric Power	Other Biomass	4985
2018	ME	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	388940
2018	ME	Electric Generators, Independent Power Producers	Total	8709840
2018	ME	Electric Generators, Independent Power Producers	Coal	0
2018	ME	Electric Generators, Independent Power Producers	Hydroelectric Conventional	3146608
2018	ME	Electric Generators, Independent Power Producers	Natural Gas	1874001
2018	ME	Electric Generators, Independent Power Producers	Other	38608
2018	ME	Electric Generators, Independent Power Producers	Petroleum	159496
2018	ME	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	12032
2018	ME	Electric Generators, Independent Power Producers	Other Biomass	72264
2018	ME	Electric Generators, Independent Power Producers	Wind	2384295
2018	ME	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	1022537
2018	ME	Electric Generators, Electric Utilities	Total	19
2018	ME	Electric Generators, Electric Utilities	Petroleum	19
2018	MI	Total Electric Power Industry	Total	115837095
2018	MI	Total Electric Power Industry	Coal	42330864
2018	MI	Total Electric Power Industry	Pumped Storage	-698455
2018	MI	Total Electric Power Industry	Hydroelectric Conventional	1569199
2018	MI	Total Electric Power Industry	Natural Gas	30986892
2018	MI	Total Electric Power Industry	Nuclear	30478694
2018	MI	Total Electric Power Industry	Other Gases	1597637
2018	MI	Total Electric Power Industry	Other	252312
2018	MI	Total Electric Power Industry	Petroleum	1213512
2018	MI	Total Electric Power Industry	Solar Thermal and Photovoltaic	118153
2018	MI	Total Electric Power Industry	Other Biomass	957467
2018	MI	Total Electric Power Industry	Wind	5457252
2018	MI	Total Electric Power Industry	Wood and Wood Derived Fuels	1573568
2018	MI	Combined Heat and Power, Industrial Power	Total	1323981
2018	MI	Combined Heat and Power, Industrial Power	Coal	73443
2018	MI	Combined Heat and Power, Industrial Power	Hydroelectric Conventional	9706
2018	MI	Combined Heat and Power, Industrial Power	Natural Gas	423019
2018	MI	Combined Heat and Power, Industrial Power	Other	18388
2018	MI	Combined Heat and Power, Industrial Power	Petroleum	114142
2018	MI	Combined Heat and Power, Industrial Power	Other Biomass	2083
2018	MI	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	683199
2018	MI	Combined Heat and Power, Commercial Power	Total	867486
2018	MI	Combined Heat and Power, Commercial Power	Coal	0
2018	MI	Combined Heat and Power, Commercial Power	Natural Gas	611744
2018	MI	Combined Heat and Power, Commercial Power	Other	122311
